month,project_id,service,sku,gross_cost,credits,net_cost
2026-03,optimax-build1,Cloud Run,Services CPU (Request-based billing),0.0,0.0,0.0
2026-03,optimax-build1,Cloud Run,Services Min Instance CPU (Request-based billing),0.0,0.0,0.0
2026-03,pid-architect-ehlu1,Security Command Center,Organization Level Security Command Center Premium for Cloud Run - CPU Time,0.0,0.0,0.0
2026-03,katalyststreet-public,Artifact Registry,Artifact Registry Network Inter Region Egress North America to North America,0.0,0.0,0.0
2026-03,katalyststreet-public,Artifact Registry,Artifact Registry Storage,0.0,0.0,0.0
2026-03,katalyststreet-public,Kubernetes Engine,Autopilot SSD Pod Ephemeral Storage Requests (us-central1),0.0,0.0,0.0
2026-03,katalyststreet-public,Security Command Center,Organization Level Security Command Center Premium for Kubernetes Pod - CPU Request,0.0,0.0,0.0
2026-03,katalyststreet-public,Secret Manager,Secret version replica storage,-0.0,0.0,0.0
2026-03,deltamax-v1,Secret Manager,Secret version replica storage,-0.0,0.0,0.0
2026-03,optimax-build1,Secret Manager,Secret version replica storage,-0.0,0.0,0.0
2026-03,optimax-build1,Cloud Run,Services Memory (Request-based billing),0.0,0.0,0.0
2026-03,pid-architect-ehlu1,Secret Manager,Secret version replica storage,-0.0,0.0,0.0
2026-03,deltamax-464321,Secret Manager,Secret version replica storage,-0.0,0.0,0.0
2026-03,katalyststreet-public,Artifact Registry,Artifact Registry Network Internet Egress North America to North America,0.0,0.0,0.0
2026-03,katalyststreet-public,Kubernetes Engine,Autopilot Pod Memory Requests (us-central1),0.0,0.0,0.0
2026-03,optimax-build1,Security Command Center,Organization Level Security Command Center Premium for Cloud Run - CPU Time,0.0,0.0,0.0
2026-03,optimax-build1,Cloud Run,Services Min Instance Memory (Request-based billing),0.0,0.0,0.0
2026-03,pid-architect-ehlu1,Cloud Run,Services CPU (Request-based billing),0.0,0.0,0.0
2026-03,katalyststreet-public,Kubernetes Engine,Autopilot Pod mCPU Requests (us-central1),0.0,0.0,0.0
2026-04,optimax-build1,Cloud Run,Services CPU (Request-based billing),71.82,-70.39,1.43
2026-04,katalyststreet-public,Kubernetes Engine,Autopilot Pod mCPU Requests (us-central1),23.89,-23.42,0.47
2026-04,katalyststreet-public,Kubernetes Engine,Autopilot Kubernetes Clusters,67.9,-67.55,0.34
2026-04,katalyststreet-public,Kubernetes Engine,Zonal Kubernetes Clusters,55.95,-55.6,0.34
2026-04,optimax-build1,Cloud Run,Services Min Instance CPU (Request-based billing),6.11,-5.98,0.12
2026-04,optimax-build1,Security Command Center,Organization Level Security Command Center Premium for Cloud Run - CPU Time,4.91,-4.81,0.1
2026-04,katalyststreet-public,Kubernetes Engine,Autopilot Pod Memory Requests (us-central1),3.45,-3.38,0.07
2026-04,optimax-build1,Cloud Run,Services Memory (Request-based billing),3.74,-3.67,0.07
2026-04,katalyststreet-public,Security Command Center,Organization Level Security Command Center Premium for Kubernetes Pod - CPU Request,3.14,-3.08,0.06
2026-04,optimax-build1,Cloud Run,Services Min Instance Memory (Request-based billing),3.05,-3.0,0.05
2026-04,katalyststreet-public,Artifact Registry,Artifact Registry Storage,2.7,-2.64,0.05
