service_description = PMOMax,service_description,sku_id,sku_description,usage_start_time,usage_end_time,project_id,project_name,export_time,cost,currency,usage_amount,usage_unit,usage_amount_in_pricing_units,usage_pricing_unit,invoice_month
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 17:00:00.000000 UTC,2026-04-21 18:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 22:31:09.534344 UTC,0.240833,USD,221,requests,221,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 17:00:00.000000 UTC,2026-04-21 18:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 22:31:09.534344 UTC,1.503845,USD,"1,380",requests,"1,380",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 17:00:00.000000 UTC,2026-04-21 18:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 22:31:09.534344 UTC,1.503845,USD,"1,380",requests,"1,380",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 17:00:00.000000 UTC,2026-04-21 18:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 22:31:09.534344 UTC,0.239744,USD,220,requests,220,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 18:00:00.000000 UTC,2026-04-21 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 22:31:09.534344 UTC,0.849999,USD,780,requests,780,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 18:00:00.000000 UTC,2026-04-21 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:06:34.112838 UTC,2.508588,USD,"2,302",requests,"2,302",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 18:00:00.000000 UTC,2026-04-21 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:06:34.112838 UTC,0.543782,USD,499,requests,499,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 18:00:00.000000 UTC,2026-04-21 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 22:31:09.534344 UTC,0.544872,USD,500,requests,500,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 18:00:00.000000 UTC,2026-04-21 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:06:34.112838 UTC,2.508589,USD,"2,302",requests,"2,302",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 18:00:00.000000 UTC,2026-04-21 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:06:34.112838 UTC,0.784616,USD,720,requests,720,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 19:00:00.000000 UTC,2026-04-21 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:06:34.112838 UTC,0.956794,USD,878,requests,878,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 19:00:00.000000 UTC,2026-04-21 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:57:55.464240 UTC,2.966282,USD,"2,722",requests,"2,722",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 19:00:00.000000 UTC,2026-04-21 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:06:34.112838 UTC,0.956795,USD,878,requests,878,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 19:00:00.000000 UTC,2026-04-21 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:57:55.464240 UTC,2.966281,USD,"2,722",requests,"2,722",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 20:00:00.000000 UTC,2026-04-21 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:45:32.173149 UTC,2.835512,USD,"2,602",requests,"2,602",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 20:00:00.000000 UTC,2026-04-21 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:57:55.464240 UTC,1.087564,USD,998,requests,998,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 20:00:00.000000 UTC,2026-04-21 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-21 23:57:55.464240 UTC,1.087564,USD,998,requests,998,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 20:00:00.000000 UTC,2026-04-21 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:44:10.690231 UTC,0.023973,USD,22,requests,22,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 20:00:00.000000 UTC,2026-04-21 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:44:10.690231 UTC,0.000001,USD,0,requests,0,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 20:00:00.000000 UTC,2026-04-21 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:45:32.173149 UTC,2.811538,USD,"2,580",requests,"2,580",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 21:00:00.000000 UTC,2026-04-21 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:44:10.690231 UTC,0.237564,USD,218,requests,218,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 21:00:00.000000 UTC,2026-04-21 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:44:10.690231 UTC,3.644102,USD,"3,344",requests,"3,344",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 21:00:00.000000 UTC,2026-04-21 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:44:10.690231 UTC,0.237564,USD,218,requests,218,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 21:00:00.000000 UTC,2026-04-21 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:44:10.690231 UTC,3.638653,USD,"3,339",requests,"3,339",count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 22:00:00.000000 UTC,2026-04-21 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:44:10.690231 UTC,0.284423,USD,261,requests,261,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 22:00:00.000000 UTC,2026-04-21 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 03:25:46.864849 UTC,0.000001,USD,0,requests,0,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 22:00:00.000000 UTC,2026-04-21 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:44:10.690231 UTC,0.196154,USD,180,requests,180,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 22:00:00.000000 UTC,2026-04-21 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 01:44:10.690231 UTC,0.065384,USD,60,requests,60,count,202604
D18E-0126-E413,PMOMax,8C07-5103-055C,PMO-Max Pricing By Tokens Tokens Usage,2026-04-21 22:00:00.000000 UTC,2026-04-21 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-22 03:25:46.864849 UTC,3.425064,USD,"3,143",requests,"3,143",count,202604
