NAMESPACE            LAST SEEN   TYPE      REASON                           OBJECT                                                                                   MESSAGE
kube-system          34m         Normal    Scheduled                        pod/parallelstore-csi-node-vrz99                                                         Successfully assigned kube-system/parallelstore-csi-node-vrz99 to gk3-pmomax-auto-pool-2-46493e36-6j6x
gke-gmp-system       34m         Normal    Scheduled                        pod/collector-vqzk4                                                                      Successfully assigned gke-gmp-system/collector-vqzk4 to gk3-pmomax-auto-pool-2-46493e36-6j6x
kube-system          35m         Normal    Scheduled                        pod/container-watcher-b7sgh                                                              Successfully assigned kube-system/container-watcher-b7sgh to gk3-pmomax-auto-pool-2-46493e36-6j6x
kube-system          34m         Normal    Scheduled                        pod/netd-rg74m                                                                           Successfully assigned kube-system/netd-rg74m to gk3-pmomax-auto-pool-2-46493e36-6j6x
kube-system          32m         Normal    Scheduled                        pod/gcsfusecsi-node-6x2dq                                                                Successfully assigned kube-system/gcsfusecsi-node-6x2dq to gk3-pmomax-auto-pool-2-46493e36-6j6x
kube-system          34m         Normal    Scheduled                        pod/efficiency-daemon-dxp69                                                              Successfully assigned kube-system/efficiency-daemon-dxp69 to gk3-pmomax-auto-pool-2-46493e36-6j6x
kube-system          34m         Normal    Scheduled                        pod/gke-metrics-agent-8fjlf                                                              Successfully assigned kube-system/gke-metrics-agent-8fjlf to gk3-pmomax-auto-pool-2-46493e36-6j6x
kube-system          32m         Normal    Scheduled                        pod/pdcsi-node-pwzt7                                                                     Successfully assigned kube-system/pdcsi-node-pwzt7 to gk3-pmomax-auto-pool-2-46493e36-6j6x
kube-system          32m         Normal    Scheduled                        pod/filestore-node-lg8fd                                                                 Successfully assigned kube-system/filestore-node-lg8fd to gk3-pmomax-auto-pool-2-46493e36-6j6x
kube-system          34m         Normal    Scheduled                        pod/ip-masq-agent-fm2mb                                                                  Successfully assigned kube-system/ip-masq-agent-fm2mb to gk3-pmomax-auto-pool-2-46493e36-6j6x
kube-system          34m         Normal    Scheduled                        pod/gke-metadata-server-4c6j9                                                            Successfully assigned kube-system/gke-metadata-server-4c6j9 to gk3-pmomax-auto-pool-2-46493e36-6j6x
