NAMESPACE            NAME                                                       READY   STATUS         RESTARTS      AGE    IP              NODE                                   NOMINATED NODE   READINESS GATES
application-system   kube-app-manager-controller-6c498f696c-v5zj5               1/2     ErrImagePull   0             17h    10.23.0.68      gk3-pmomax-auto-pool-2-3eb71742-47nr   <none>           <none>
gke-gmp-system       collector-2chck                                            2/2     Running        0             13h    10.23.1.3       gk3-pmomax-auto-pool-2-b5af5ad0-hklr   <none>           <none>
gke-gmp-system       collector-shbzt                                            2/2     Running        0             17h    10.23.0.67      gk3-pmomax-auto-pool-2-3eb71742-47nr   <none>           <none>
gke-gmp-system       gmp-operator-8656d5969-kwhw8                               1/1     Running        0             16h    10.23.0.75      gk3-pmomax-auto-pool-2-3eb71742-47nr   <none>           <none>
gke-managed-cim      kube-state-metrics-0                                       2/2     Running        0             17h    10.23.0.71      gk3-pmomax-auto-pool-2-3eb71742-47nr   <none>           <none>
kube-system          anetd-l-4jglj                                              3/3     Running        0             13h    10.128.15.214   gk3-pmomax-auto-pool-2-b5af5ad0-hklr   <none>           <none>
kube-system          anetd-l-7dvk8                                              3/3     Running        0             17h    10.128.0.58     gk3-pmomax-auto-pool-2-3eb71742-47nr   <none>           <none>
kube-system          antrea-controller-horizontal-autoscaler-7f9bf6958b-r5tpv   1/1     Running        0             132m   10.23.0.78      gk3-pmomax-auto-pool-2-3eb71742-47nr   <none>           <none>
kube-system          container-watcher-5p9z9                                    1/1     Running        0             17h    10.128.0.58     gk3-pmomax-auto-pool-2-3eb71742-47nr   <none>           <none>
kube-system          container-watcher-g75wv                                    1/1     Running        0             13h    10.128.15.214   gk3-pmomax-auto-pool-2-b5af5ad0-hklr   <none>           <none>
kube-system          efficiency-daemon-tsrwd                                    1/1     Running        0             13h    10.128.15.214   gk3-pmomax-auto-pool-2-b5af5ad0-hklr   <none>           <none>
kube-system          efficiency-daemon-xxn2z                                    1/1     Running        0             17h    10.128.0.58     gk3-pmomax-auto-pool-2-3eb71742-47nr   <none>           <none>
kube-system          egress-nat-controller-658856bb4f-mh95t                     1/1     Running        0             132m   10.23.1.8       gk3-pmomax-auto-pool-2-b5af5ad0-hklr   <none>           <none>
kube-system          event-exporter-gke-76957bc5c8-9trxv                        2/2     Running        0             15h    10.23.0.76      gk3-pmomax-auto-pool-2-3eb71742-47nr   <none>           <none>
